order_id,ordered_at,customer_key,region,currency,net_amount,tax_amount,gross_amount,order_status
ORD-000001,2026-05-01T09:13:00+00:00,CUS-00395,North America,USD,235.51,18.84,254.35,completed
ORD-000002,2026-05-01T10:26:00+00:00,CUS-00161,United Kingdom,GBP,55.75,11.15,66.90,completed
ORD-000003,2026-05-01T11:39:00+00:00,CUS-00241,United Kingdom,GBP,207.55,41.51,249.06,completed
ORD-000004,2026-05-01T12:52:00+00:00,CUS-00044,North America,USD,602.40,48.19,650.59,pending
ORD-000005,2026-05-01T14:05:00+00:00,CUS-00118,North America,USD,370.14,29.61,399.75,refunded
ORD-000006,2026-05-01T15:18:00+00:00,CUS-00076,Europe,EUR,610.55,122.11,732.66,completed
ORD-000007,2026-05-01T16:31:00+00:00,CUS-00370,Europe,EUR,644.99,129.00,773.99,refunded
ORD-000008,2026-05-01T17:44:00+00:00,CUS-00270,United Kingdom,GBP,616.09,123.22,739.31,completed
ORD-000009,2026-05-01T18:57:00+00:00,CUS-00295,United Kingdom,GBP,622.51,124.50,747.01,refunded
ORD-000010,2026-05-01T20:10:00+00:00,CUS-00009,Europe,EUR,377.67,75.53,453.20,completed
ORD-000011,2026-05-01T21:23:00+00:00,CUS-00055,North America,USD,480.61,38.45,519.06,refunded
ORD-000012,2026-05-01T22:36:00+00:00,CUS-00375,North America,USD,301.97,24.16,326.13,completed
ORD-000013,2026-05-01T23:49:00+00:00,CUS-00064,United Kingdom,GBP,323.96,64.79,388.75,pending
ORD-000014,2026-05-02T01:02:00+00:00,CUS-00399,North America,USD,73.52,5.88,79.40,completed
ORD-000015,2026-05-02T02:15:00+00:00,CUS-00115,North America,USD,641.75,51.34,693.09,completed
ORD-000016,2026-05-02T03:28:00+00:00,CUS-00355,United Kingdom,GBP,21.81,4.36,26.17,completed
ORD-000017,2026-05-02T04:41:00+00:00,CUS-00355,North America,USD,34.66,2.77,37.43,completed
ORD-000018,2026-05-02T05:54:00+00:00,CUS-00003,Europe,EUR,374.07,74.81,448.88,completed
ORD-000019,2026-05-02T07:07:00+00:00,CUS-00279,United Kingdom,GBP,196.06,39.21,235.27,completed
ORD-000020,2026-05-02T08:20:00+00:00,CUS-00211,Europe,EUR,287.29,57.46,344.75,completed
ORD-000021,2026-05-02T09:33:00+00:00,CUS-00312,North America,USD,218.49,17.48,235.97,completed
ORD-000022,2026-05-02T10:46:00+00:00,CUS-00190,United Kingdom,GBP,523.02,104.60,627.62,pending
ORD-000023,2026-05-02T11:59:00+00:00,CUS-00074,United Kingdom,GBP,579.02,115.80,694.82,completed
ORD-000024,2026-05-02T13:12:00+00:00,CUS-00029,North America,USD,62.38,4.99,67.37,completed
ORD-000025,2026-05-02T14:25:00+00:00,CUS-00071,Europe,EUR,620.93,124.19,745.12,completed
ORD-000026,2026-05-02T15:38:00+00:00,CUS-00056,United Kingdom,GBP,563.93,112.79,676.72,completed
ORD-000027,2026-05-02T16:51:00+00:00,CUS-00299,North America,USD,195.45,15.64,211.09,completed
ORD-000028,2026-05-02T18:04:00+00:00,CUS-00263,Europe,EUR,354.08,70.82,424.90,refunded
ORD-000029,2026-05-02T19:17:00+00:00,CUS-00209,Europe,EUR,136.95,27.39,164.34,completed
ORD-000030,2026-05-02T20:30:00+00:00,CUS-00227,North America,USD,641.63,51.33,692.96,completed
ORD-000031,2026-05-02T21:43:00+00:00,CUS-00025,North America,USD,307.11,24.57,331.68,completed
ORD-000032,2026-05-02T22:56:00+00:00,CUS-00028,Europe,EUR,392.95,78.59,471.54,completed
ORD-000033,2026-05-03T00:09:00+00:00,CUS-00227,Europe,EUR,240.78,48.16,288.94,completed
ORD-000034,2026-05-03T01:22:00+00:00,CUS-00303,North America,USD,358.57,28.69,387.26,completed
ORD-000035,2026-05-03T02:35:00+00:00,CUS-00282,United Kingdom,GBP,356.12,71.22,427.34,completed
ORD-000036,2026-05-03T03:48:00+00:00,CUS-00043,Europe,EUR,599.52,119.90,719.42,completed
ORD-000037,2026-05-03T05:01:00+00:00,CUS-00267,North America,USD,541.78,43.34,585.12,refunded
ORD-000038,2026-05-03T06:14:00+00:00,CUS-00010,United Kingdom,GBP,315.68,63.14,378.82,pending
ORD-000039,2026-05-03T07:27:00+00:00,CUS-00369,Europe,EUR,196.48,39.30,235.78,refunded
ORD-000040,2026-05-03T08:40:00+00:00,CUS-00103,Europe,EUR,384.80,76.96,461.76,pending
ORD-000041,2026-05-03T09:53:00+00:00,CUS-00382,North America,USD,604.98,48.40,653.38,completed
ORD-000042,2026-05-03T11:06:00+00:00,CUS-00122,United Kingdom,GBP,593.68,118.74,712.42,completed
ORD-000043,2026-05-03T12:19:00+00:00,CUS-00235,North America,USD,159.48,12.76,172.24,pending
ORD-000044,2026-05-03T13:32:00+00:00,CUS-00313,United Kingdom,GBP,103.86,20.77,124.63,completed
ORD-000045,2026-05-03T14:45:00+00:00,CUS-00233,United Kingdom,GBP,136.66,27.33,163.99,pending
ORD-000046,2026-05-03T15:58:00+00:00,CUS-00201,North America,USD,257.51,20.60,278.11,completed
ORD-000047,2026-05-03T17:11:00+00:00,CUS-00233,North America,USD,87.46,7.00,94.46,completed
ORD-000048,2026-05-03T18:24:00+00:00,CUS-00004,Europe,EUR,619.37,123.87,743.24,completed
ORD-000049,2026-05-03T19:37:00+00:00,CUS-00153,United Kingdom,GBP,558.94,111.79,670.73,completed
ORD-000050,2026-05-03T20:50:00+00:00,CUS-00342,Europe,EUR,265.05,53.01,318.06,completed
ORD-000051,2026-05-03T22:03:00+00:00,CUS-00210,United Kingdom,GBP,456.75,91.35,548.10,completed
ORD-000052,2026-05-03T23:16:00+00:00,CUS-00020,Europe,EUR,156.63,31.33,187.96,completed
ORD-000053,2026-05-04T00:29:00+00:00,CUS-00278,United Kingdom,GBP,188.53,37.71,226.24,completed
ORD-000054,2026-05-04T01:42:00+00:00,CUS-00102,North America,USD,114.27,9.14,123.41,pending
ORD-000055,2026-05-04T02:55:00+00:00,CUS-00345,North America,USD,18.07,1.45,19.52,completed
ORD-000056,2026-05-04T04:08:00+00:00,CUS-00221,North America,USD,269.44,21.56,291.00,completed
ORD-000057,2026-05-04T05:21:00+00:00,CUS-00031,United Kingdom,GBP,425.59,85.12,510.71,completed
ORD-000058,2026-05-04T06:34:00+00:00,CUS-00096,Europe,EUR,79.53,15.91,95.44,completed
ORD-000059,2026-05-04T07:47:00+00:00,CUS-00342,Europe,EUR,61.99,12.40,74.39,refunded
ORD-000060,2026-05-04T09:00:00+00:00,CUS-00010,Europe,EUR,215.30,43.06,258.36,completed
ORD-000061,2026-05-04T10:13:00+00:00,CUS-00260,Europe,EUR,386.31,77.26,463.57,completed
ORD-000062,2026-05-04T11:26:00+00:00,CUS-00307,United Kingdom,GBP,317.36,63.47,380.83,completed
ORD-000063,2026-05-04T12:39:00+00:00,CUS-00363,United Kingdom,GBP,281.90,56.38,338.28,completed
ORD-000064,2026-05-04T13:52:00+00:00,CUS-00089,North America,USD,120.85,9.67,130.52,completed
ORD-000065,2026-05-04T15:05:00+00:00,CUS-00177,North America,USD,93.39,7.47,100.86,completed
ORD-000066,2026-05-04T16:18:00+00:00,CUS-00221,United Kingdom,GBP,251.81,50.36,302.17,completed
ORD-000067,2026-05-04T17:31:00+00:00,CUS-00112,United Kingdom,GBP,199.04,39.81,238.85,completed
ORD-000068,2026-05-04T18:44:00+00:00,CUS-00239,North America,USD,536.43,42.91,579.34,completed
ORD-000069,2026-05-04T19:57:00+00:00,CUS-00218,United Kingdom,GBP,58.77,11.75,70.52,completed
ORD-000070,2026-05-04T21:10:00+00:00,CUS-00385,North America,USD,219.69,17.58,237.27,completed
ORD-000071,2026-05-04T22:23:00+00:00,CUS-00322,United Kingdom,GBP,198.45,39.69,238.14,completed
ORD-000072,2026-05-04T23:36:00+00:00,CUS-00274,Europe,EUR,420.49,84.10,504.59,completed
ORD-000073,2026-05-05T00:49:00+00:00,CUS-00144,Europe,EUR,104.37,20.87,125.24,completed
ORD-000074,2026-05-05T02:02:00+00:00,CUS-00003,North America,USD,363.68,29.09,392.77,pending
ORD-000075,2026-05-05T03:15:00+00:00,CUS-00112,North America,USD,483.65,38.69,522.34,completed
ORD-000076,2026-05-05T04:28:00+00:00,CUS-00288,North America,USD,325.16,26.01,351.17,completed
ORD-000077,2026-05-05T05:41:00+00:00,CUS-00281,United Kingdom,GBP,171.37,34.27,205.64,completed
